epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,327.074,0.54748,0.44096,1.10768,0.87469,0.6929,0.77399,0.55271,1.06067,1.05499,1.36396,0.000653581,0.000653581,0.000653581
43,334.314,0.62978,0.39128,1.16483,0.87822,0.6964,0.77357,0.55463,1.0565,1.05933,1.3553,0.000665364,0.000665364,0.000665364
44,341.831,0.47716,0.38603,0.99429,0.88451,0.7027,0.77989,0.56224,1.04278,1.04416,1.34049,0.000676949,0.000676949,0.000676949
45,348.954,0.61763,0.5042,1.07947,0.88169,0.71977,0.78952,0.57021,1.03679,1.02132,1.34214,0.000688336,0.000688336,0.000688336
46,357.773,0.49864,0.44656,1.01005,0.88422,0.72304,0.79657,0.57188,1.04362,1.00299,1.35654,0.000699525,0.000699525,0.000699525
47,370.896,0.57547,0.60427,1.09688,0.876,0.72348,0.79639,0.56694,1.05512,0.99497,1.36984,0.000710516,0.000710516,0.000710516
48,383.519,0.58834,0.49836,1.09968,0.89338,0.71201,0.79791,0.56222,1.06778,0.98701,1.37961,0.000721309,0.000721309,0.000721309
49,396.662,0.58198,0.4726,1.07833,0.89082,0.71359,0.79568,0.55982,1.07771,0.98012,1.38114,0.000731904,0.000731904,0.000731904
50,409.364,0.60105,0.50658,1.07741,0.89598,0.71602,0.79263,0.56056,1.08055,0.97663,1.37748,0.000742301,0.000742301,0.000742301
51,422.594,0.52247,0.45238,1.00067,0.89598,0.71602,0.79263,0.56056,1.08055,0.97663,1.37748,0.0007525,0.0007525,0.0007525
52,435.895,0.52558,0.48092,1.01576,0.89499,0.71117,0.78734,0.55641,1.08613,0.98906,1.37994,0.000762501,0.000762501,0.000762501
53,448.775,0.52177,0.45283,1.02164,0.89499,0.71117,0.78734,0.55641,1.08613,0.98906,1.37994,0.000772304,0.000772304,0.000772304
54,461.993,0.51376,0.39319,1.014,0.8897,0.69907,0.77418,0.54772,1.087,1.01125,1.38088,0.000781909,0.000781909,0.000781909
