epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
31,922.419,1.3261,1.73031,1.86109,0.81022,0.52769,0.60087,0.3168,1.69424,1.65923,2.33331,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
32,952.724,1.31836,1.70994,1.84319,0.8667,0.50902,0.60262,0.33139,1.57647,1.68289,2.2119,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655
33,983.01,1.30574,1.69096,1.83112,0.86672,0.522,0.59309,0.30616,1.66097,1.73355,2.4158,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
34,1010.55,1.30299,1.69562,1.81889,0.86002,0.53205,0.63058,0.35597,1.52865,1.53656,2.14144,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665
35,1040.85,1.31226,1.68001,1.83006,0.87147,0.5028,0.58427,0.30908,1.67328,1.7605,2.37096,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
36,1070.34,1.31543,1.68678,1.84109,0.86471,0.50513,0.59827,0.32612,1.599,1.61047,2.18344,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675
37,1094.99,1.29067,1.63957,1.80811,0.84932,0.52963,0.61928,0.34121,1.57597,1.594,2.19246,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
38,1131.69,1.2801,1.66314,1.80301,0.83717,0.5364,0.60465,0.31424,1.66181,1.65472,2.38959,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685
39,1162.07,1.28539,1.63856,1.80621,0.89734,0.53703,0.64229,0.35748,1.55328,1.46517,2.18564,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
40,1189.68,1.27267,1.62257,1.78754,0.85537,0.53366,0.60109,0.32185,1.64707,1.70301,2.36909,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695
41,1217.32,1.28445,1.6539,1.79815,0.85701,0.542,0.62338,0.34078,1.55566,1.5597,2.18358,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
42,1247.14,1.27763,1.63216,1.80459,0.86176,0.52368,0.62342,0.33148,1.62305,1.55136,2.31109,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705
43,1277.21,1.26992,1.62341,1.79762,0.83816,0.52831,0.61348,0.34484,1.56903,1.58127,2.19019,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
44,1302,1.26554,1.59298,1.78891,0.84955,0.54947,0.63213,0.34615,1.58061,1.55377,2.21803,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715
45,1331.59,1.27551,1.61377,1.79007,0.86209,0.52582,0.61091,0.34005,1.56193,1.58899,2.17269,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
46,1361.1,1.25262,1.59973,1.7811,0.85742,0.54261,0.60887,0.33853,1.58668,1.59773,2.18302,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725
47,1393.62,1.25085,1.58147,1.76937,0.8689,0.5444,0.62127,0.33276,1.6432,1.58672,2.29448,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
48,1422.74,1.25448,1.606,1.78154,0.86406,0.56627,0.66053,0.37503,1.51644,1.4245,2.15359,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735
49,1453.39,1.25792,1.60346,1.77712,0.8837,0.53903,0.63392,0.34768,1.58683,1.45754,2.31738,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
50,1483.88,1.25341,1.57147,1.77619,0.88593,0.54636,0.65474,0.36855,1.53912,1.41786,2.17485,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745
51,1509.25,1.24318,1.59046,1.77464,0.85781,0.52396,0.61573,0.34818,1.55746,1.55732,2.22451,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
52,1540.23,1.23912,1.57726,1.76157,0.87038,0.542,0.62343,0.35013,1.57787,1.58432,2.20823,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755
53,1570.89,1.25333,1.58567,1.76773,0.86897,0.54887,0.64075,0.36804,1.48666,1.54481,2.05853,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
54,1596.6,1.23874,1.56667,1.75358,0.87994,0.53827,0.62516,0.34537,1.58524,1.53002,2.2236,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765
55,1626.12,1.22971,1.53271,1.76217,0.8287,0.53886,0.61307,0.35599,1.51045,1.5478,2.14594,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
56,1657.32,1.24533,1.57017,1.7611,0.84049,0.56396,0.65159,0.36768,1.56588,1.40893,2.2227,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775
57,1690.55,1.22539,1.53456,1.74789,0.87335,0.54449,0.64189,0.35802,1.59558,1.42178,2.26402,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
58,1718.4,1.24325,1.55226,1.76445,0.87679,0.54909,0.62722,0.35221,1.55467,1.44091,2.21721,0.0215355,0.0071785,0.0215355,0.0071785,0.0215355,0.0071785,0.0215355,0.0071785
59,1748.42,1.21645,1.54466,1.74054,0.8722,0.54786,0.63242,0.3541,1.58645,1.47547,2.23435,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
60,1778.37,1.23288,1.53525,1.74337,0.92889,0.5476,0.65535,0.36423,1.56849,1.39968,2.28231,0.0212385,0.0070795,0.0212385,0.0070795,0.0212385,0.0070795,0.0212385,0.0070795
61,1802.3,1.22933,1.55101,1.744,0.8518,0.56378,0.63479,0.36091,1.5545,1.44205,2.21713,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
62,1830.71,1.22933,1.51653,1.7523,0.86989,0.54885,0.64129,0.36873,1.48856,1.50819,2.12387,0.0209415,0.0069805,0.0209415,0.0069805,0.0209415,0.0069805,0.0209415,0.0069805
63,1860.58,1.21691,1.55372,1.74433,0.85972,0.56063,0.64069,0.3781,1.47137,1.4337,2.11053,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
64,1890.48,1.21697,1.56291,1.73218,0.88624,0.56441,0.64375,0.34652,1.61412,1.43793,2.28085,0.0206445,0.0068815,0.0206445,0.0068815,0.0206445,0.0068815,0.0206445,0.0068815
65,1917.68,1.20772,1.51132,1.73137,0.87709,0.55881,0.65036,0.36614,1.54356,1.42966,2.18158,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
66,1954.22,1.20303,1.53476,1.7265,0.88746,0.56429,0.66066,0.37098,1.54801,1.39069,2.22324,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825
67,1983.97,1.20795,1.50017,1.73382,0.92271,0.51089,0.61297,0.35023,1.56165,1.55711,2.26095,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
68,2009.07,1.21035,1.50598,1.73486,0.87002,0.57479,0.66361,0.38382,1.50757,1.39592,2.13965,0.0200505,0.0066835,0.0200505,0.0066835,0.0200505,0.0066835,0.0200505,0.0066835
69,2038.37,1.18933,1.50579,1.71104,0.88,0.54823,0.63992,0.35428,1.56164,1.48955,2.22359,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
70,2068.56,1.19754,1.50521,1.72549,0.88717,0.56689,0.66256,0.38531,1.49536,1.38578,2.13966,0.0197535,0.0065845,0.0197535,0.0065845,0.0197535,0.0065845,0.0197535,0.0065845
71,2097.4,1.19715,1.49237,1.72502,0.86008,0.58526,0.67622,0.38236,1.52891,1.34221,2.22426,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
72,2124.62,1.18624,1.49627,1.71682,0.937,0.56441,0.67236,0.37743,1.56144,1.35705,2.24002,0.0194565,0.0064855,0.0194565,0.0064855,0.0194565,0.0064855,0.0194565,0.0064855
73,2155.55,1.20192,1.49345,1.72151,0.86142,0.56859,0.65045,0.36899,1.52348,1.36946,2.1876,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
74,2185.61,1.19927,1.48942,1.72439,0.8766,0.57466,0.65362,0.36553,1.53474,1.39906,2.20116,0.0191595,0.0063865,0.0191595,0.0063865,0.0191595,0.0063865,0.0191595,0.0063865
75,2212.93,1.18017,1.46796,1.70427,0.88933,0.55694,0.6508,0.35917,1.57148,1.4058,2.21204,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
76,2247.89,1.18489,1.46877,1.71033,0.8887,0.57139,0.66447,0.37576,1.52969,1.36365,2.19333,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875
77,2278.04,1.18255,1.4722,1.70945,0.89301,0.56615,0.66215,0.36869,1.55477,1.35495,2.24066,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
