epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,477.499,0.96042,0.88453,1.33915,0.91762,0.76944,0.86342,0.66876,0.86024,0.72927,1.1894,0.0282774,0.0094258,0.0282774,0.0094258,0.0282774,0.0094258,0.0282774,0.0094258
31,493.146,0.95504,0.87619,1.34313,0.93047,0.75781,0.87024,0.67162,0.84997,0.71165,1.1887,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
32,508.5,0.94422,0.87599,1.32826,0.91951,0.76229,0.86675,0.66811,0.84193,0.70788,1.18239,0.0281586,0.0093862,0.0281586,0.0093862,0.0281586,0.0093862,0.0281586,0.0093862
33,524.148,0.94216,0.85309,1.32252,0.95304,0.75233,0.87084,0.68113,0.81434,0.69489,1.16218,0.0280992,0.0093664,0.0280992,0.0093664,0.0280992,0.0093664,0.0280992,0.0093664
34,539.639,0.93254,0.85809,1.31886,0.93171,0.75669,0.86461,0.6719,0.85305,0.71899,1.19044,0.0280398,0.0093466,0.0280398,0.0093466,0.0280398,0.0093466,0.0280398,0.0093466
35,555.32,0.92738,0.83881,1.31241,0.94082,0.76914,0.874,0.68034,0.81981,0.68505,1.14726,0.0279804,0.0093268,0.0279804,0.0093268,0.0279804,0.0093268,0.0279804,0.0093268
36,570.707,0.91836,0.83099,1.30388,0.92322,0.77821,0.87837,0.68727,0.8212,0.68254,1.16118,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
37,586.4,0.92205,0.86154,1.29948,0.92502,0.78034,0.87438,0.68858,0.81018,0.68788,1.15367,0.0278616,0.0092872,0.0278616,0.0092872,0.0278616,0.0092872,0.0278616,0.0092872
38,602.012,0.90566,0.81579,1.2997,0.93891,0.76478,0.87415,0.68787,0.81206,0.68479,1.16082,0.0278022,0.0092674,0.0278022,0.0092674,0.0278022,0.0092674,0.0278022,0.0092674
39,617.791,0.90957,0.81642,1.2995,0.92724,0.77474,0.88033,0.69056,0.80236,0.66031,1.14976,0.0277428,0.0092476,0.0277428,0.0092476,0.0277428,0.0092476,0.0277428,0.0092476
