epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
31,7702.44,1.31032,1.69284,1.84725,0.83628,0.55623,0.63356,0.3273,1.55932,1.61691,2.26357,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
32,7951.27,1.29671,1.67224,1.83492,0.88774,0.55607,0.6326,0.33012,1.59183,1.63019,2.25822,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655
33,8200.76,1.29832,1.65789,1.83282,0.88369,0.55196,0.63701,0.32127,1.64319,1.63732,2.36706,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
34,8451.4,1.28474,1.6685,1.81788,0.90134,0.54947,0.63598,0.32828,1.62697,1.56865,2.29008,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665
35,8703.06,1.29278,1.64305,1.82389,0.82749,0.53329,0.60335,0.29877,1.64794,1.75985,2.30874,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
36,8953.5,1.28283,1.63224,1.81391,0.82191,0.5476,0.63479,0.34668,1.56761,1.57382,2.16213,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675
37,9203.06,1.28184,1.64153,1.80962,0.86067,0.54968,0.64283,0.33542,1.66986,1.68611,2.31364,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
38,9454.93,1.26118,1.60738,1.79361,0.8425,0.53765,0.60022,0.33301,1.58392,1.5866,2.22233,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685
39,9708.68,1.26535,1.60507,1.80293,0.87123,0.55576,0.64444,0.33749,1.63451,1.60251,2.27346,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
40,9957.12,1.25369,1.59668,1.78492,0.83669,0.53267,0.60108,0.31773,1.62576,1.77606,2.32785,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695
41,10208,1.2749,1.61276,1.80621,0.86065,0.54263,0.62068,0.32276,1.63268,1.76191,2.31841,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
42,10459.9,1.26322,1.60919,1.79597,0.88431,0.55178,0.63782,0.33357,1.63588,1.53232,2.32074,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705
43,10708.9,1.26011,1.58771,1.79752,0.87595,0.54574,0.64173,0.34118,1.60344,1.5771,2.28748,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
44,10963.1,1.25608,1.5786,1.78783,0.87547,0.5364,0.6193,0.33332,1.63567,1.60689,2.36137,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715
45,11214.2,1.25267,1.59272,1.78452,0.9075,0.56192,0.64645,0.34036,1.63125,1.6469,2.38171,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
46,11463.2,1.23267,1.57525,1.77431,0.86791,0.55196,0.63842,0.34213,1.60721,1.5298,2.28956,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725
47,11717,1.25588,1.57522,1.78895,0.87939,0.55072,0.63276,0.33584,1.67946,1.53836,2.459,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
48,11963.5,1.25041,1.56843,1.77691,0.87786,0.56378,0.6459,0.34885,1.56411,1.64632,2.23175,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735
49,12210.3,1.24107,1.54753,1.77222,0.87887,0.56887,0.6382,0.32808,1.65116,1.64081,2.31362,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
50,12463.2,1.22568,1.54779,1.76944,0.85419,0.56505,0.65501,0.37506,1.49831,1.54527,2.13733,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745
51,12715.6,1.23399,1.56401,1.77045,0.87258,0.56067,0.65174,0.3656,1.51793,1.62586,2.16154,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
52,12962.4,1.24195,1.55969,1.77478,0.8863,0.57726,0.66931,0.36697,1.58161,1.46583,2.28712,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755
53,13216.4,1.2347,1.54284,1.76758,0.88061,0.55756,0.64938,0.35342,1.60689,1.48143,2.32489,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
54,13467.9,1.2383,1.55156,1.77371,0.87023,0.5725,0.65586,0.34733,1.6144,1.46554,2.3446,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765
55,13719.9,1.21514,1.52131,1.75307,0.86572,0.55363,0.63565,0.3304,1.61161,1.6156,2.31657,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
56,13971.3,1.22736,1.54863,1.76239,0.86568,0.55383,0.63437,0.33331,1.62209,1.54687,2.30823,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775
57,14219.2,1.21107,1.52705,1.74974,0.8771,0.56876,0.6559,0.35834,1.5388,1.46347,2.20334,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
58,14466,1.20935,1.52572,1.7491,0.86388,0.56814,0.64303,0.34584,1.60662,1.52026,2.27764,0.0215355,0.0071785,0.0215355,0.0071785,0.0215355,0.0071785,0.0215355,0.0071785
59,14716.1,1.20227,1.49332,1.74191,0.90312,0.5685,0.65453,0.3699,1.52152,1.56353,2.13648,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
60,14965.6,1.2224,1.52398,1.75231,0.8619,0.56752,0.64684,0.37346,1.47079,1.58267,2.10044,0.0212385,0.0070795,0.0212385,0.0070795,0.0212385,0.0070795,0.0212385,0.0070795
61,15215.8,1.20904,1.50398,1.74737,0.87074,0.56129,0.65821,0.36652,1.56622,1.47654,2.22227,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
62,15465.2,1.2126,1.5033,1.75053,0.87148,0.56876,0.6478,0.35454,1.57429,1.47965,2.25732,0.0209415,0.0069805,0.0209415,0.0069805,0.0209415,0.0069805,0.0209415,0.0069805
63,15715.6,1.21095,1.51591,1.74508,0.88644,0.56938,0.65014,0.35657,1.57131,1.47681,2.25435,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
64,15964.6,1.20226,1.50573,1.73884,0.89814,0.56565,0.65247,0.36801,1.55027,1.46743,2.21209,0.0206445,0.0068815,0.0206445,0.0068815,0.0206445,0.0068815,0.0206445,0.0068815
65,16212.8,1.20808,1.51024,1.73834,0.88825,0.56378,0.64939,0.36166,1.54583,1.49639,2.16383,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
66,16463,1.19327,1.50904,1.73275,0.88556,0.57125,0.66442,0.37088,1.54772,1.3988,2.19949,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825
67,16709.7,1.20659,1.50488,1.7496,0.87382,0.55943,0.66324,0.36469,1.53829,1.49122,2.22727,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
68,16963.4,1.19523,1.49544,1.73335,0.87361,0.56254,0.64604,0.3454,1.58257,1.51477,2.28962,0.0200505,0.0066835,0.0200505,0.0066835,0.0200505,0.0066835,0.0200505,0.0066835
69,17212.9,1.18646,1.46948,1.72432,0.88527,0.5762,0.66825,0.36696,1.56833,1.4254,2.19992,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
70,17463.8,1.18551,1.47699,1.72159,0.90079,0.55936,0.65888,0.36417,1.54793,1.46241,2.24487,0.0197535,0.0065845,0.0197535,0.0065845,0.0197535,0.0065845,0.0197535,0.0065845
71,17716.5,1.18775,1.4715,1.72158,0.91193,0.57996,0.67593,0.37091,1.52661,1.38124,2.28329,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
72,17962.1,1.18776,1.48254,1.72332,0.87663,0.5704,0.657,0.36605,1.54829,1.43669,2.23199,0.0194565,0.0064855,0.0194565,0.0064855,0.0194565,0.0064855,0.0194565,0.0064855
73,18214.4,1.18522,1.47607,1.73037,0.91867,0.57685,0.69219,0.40492,1.46206,1.3355,2.08189,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
74,18462.6,1.18125,1.45442,1.71588,0.91155,0.57079,0.67274,0.367,1.55494,1.36571,2.27984,0.0191595,0.0063865,0.0191595,0.0063865,0.0191595,0.0063865,0.0191595,0.0063865
75,18709.1,1.17836,1.45814,1.71523,0.90365,0.56612,0.66843,0.38266,1.49339,1.38737,2.13938,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
76,18960.8,1.17521,1.46366,1.71746,0.88375,0.56005,0.65285,0.366,1.54519,1.44497,2.22237,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875
77,19244.7,1.17785,1.44301,1.71998,0.87858,0.58992,0.69209,0.39367,1.48975,1.35022,2.14524,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
78,19523.1,1.18132,1.44028,1.71877,0.88877,0.5718,0.68604,0.38058,1.52606,1.37909,2.13769,0.0185655,0.0061885,0.0185655,0.0061885,0.0185655,0.0061885,0.0185655,0.0061885
79,19805.1,1.17506,1.46707,1.70972,0.90197,0.56192,0.66169,0.37808,1.48621,1.49721,2.11857,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
80,20073.6,1.17547,1.4534,1.70242,0.90875,0.55778,0.66437,0.3695,1.54029,1.4409,2.22451,0.0182685,0.0060895,0.0182685,0.0060895,0.0182685,0.0060895,0.0182685,0.0060895
81,20357.2,1.1684,1.47174,1.71204,0.92605,0.56192,0.67192,0.37926,1.50094,1.4609,2.15725,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
82,20632.6,1.17112,1.45385,1.70488,0.88895,0.56784,0.67151,0.37732,1.49447,1.45594,2.13277,0.0179715,0.0059905,0.0179715,0.0059905,0.0179715,0.0059905,0.0179715,0.0059905
